"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","LBR.PPPEX.A","OBS_VALUE","Liberia","0.405","0.429","0.42","0.384","0.346","0.372","0.434","0.438","0.446","0.45"
"IMF.RES:WEO(6.0.0)","ISR.PPPEX.A","OBS_VALUE","Israel","3.841","3.818","3.752","3.785","3.817","3.747","3.651","3.57","3.588","3.623"
"IMF.RES:WEO(6.0.0)","SAU.PPPEX.A","OBS_VALUE","Saudi Arabia","1.671","1.616","1.689","1.854","1.862","1.921","1.909","2.103","1.97","1.954"
"IMF.RES:WEO(6.0.0)","STP.PPPEX.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","9.15","9.703","9.922","9.685","9.166","9.128","8.599","9.291","10.91","12.511"
"IMF.RES:WEO(6.0.0)","SRB.PPPEX.A","OBS_VALUE","Serbia, Republic of","40.115","40.353","40.821","41.004","39.65","39.76","40.651","41.874","45.27","46.748"
"IMF.RES:WEO(6.0.0)","NGA.PPPEX.A","OBS_VALUE","Nigeria","96.934","105.185","114.824","123.915","129.647","134.639","146.718","152.445","165.723","202.829"
"IMF.RES:WEO(6.0.0)","PAK.PPPEX.A","OBS_VALUE","Pakistan","31.829","32.586","33.246","34.682","37.671","40.075","43.441","45.591","55.488","66.928"
"IMF.RES:WEO(6.0.0)","NRU.PPPEX.A","OBS_VALUE","Nauru, Republic of","1.118","1.399","1.579","1.829","1.714","1.765","1.993","1.659","1.688","1.73"
"IMF.RES:WEO(6.0.0)","PRI.PPPEX.A","OBS_VALUE","Puerto Rico","0.937","0.949","0.952","0.91","0.879","0.853","0.804","0.773","0.771","0.765"
"IMF.RES:WEO(6.0.0)","SEN.PPPEX.A","OBS_VALUE","Senegal","246.457","246.47","243.584","238.688","229.867","224.087","212.331","215.265","215.831","214.917"
"IMF.RES:WEO(6.0.0)","PRT.PPPEX.A","OBS_VALUE","Portugal","0.573","0.577","0.576","0.571","0.551","0.543","0.538","0.527","0.545","0.547"
"IMF.RES:WEO(6.0.0)","MKD.PPPEX.A","OBS_VALUE","North Macedonia, Republic of","18.326","18.783","18.97","18.951","18.256","18.063","17.748","17.844","17.844","18.177"
"IMF.RES:WEO(6.0.0)","NOR.PPPEX.A","OBS_VALUE","Norway","9.782","9.535","9.75","9.584","9.481","9.588","8.962","10.722","9.25","9.312"
"IMF.RES:WEO(6.0.0)","NZL.PPPEX.A","OBS_VALUE","New Zealand","1.388","1.402","1.431","1.47","1.437","1.423","1.456","1.435","1.46","1.462"
"IMF.RES:WEO(6.0.0)","NLD.PPPEX.A","OBS_VALUE","Netherlands, The","0.788","0.785","0.782","0.777","0.767","0.748","0.734","0.727","0.753","0.766"
"IMF.RES:WEO(6.0.0)","NER.PPPEX.A","OBS_VALUE","Niger","252.214","253.219","250.788","251.853","231.897","222.843","212.888","206.655","206.459","212.4"
"IMF.RES:WEO(6.0.0)","NAM.PPPEX.A","OBS_VALUE","Namibia","5.993","6.41","6.922","7.13","7.115","6.826","6.717","6.674","6.856","6.924"
"IMF.RES:WEO(6.0.0)","PRY.PPPEX.A","OBS_VALUE","Paraguay","2388.952","2464.313","2473.23","2537.227","2567.449","2538.992","2628.084","2650.778","2611.568","2621.529"
"IMF.RES:WEO(6.0.0)","PER.PPPEX.A","OBS_VALUE","Peru","1.661","1.708","1.744","1.754","1.731","1.706","1.734","1.68","1.74","1.744"
"IMF.RES:WEO(6.0.0)","QAT.PPPEX.A","OBS_VALUE","Qatar","2.428","2.189","2.318","2.35","2.263","2.29","2.235","2.627","2.264","2.264"
"IMF.RES:WEO(6.0.0)","WSM.PPPEX.A","OBS_VALUE","Samoa","1.994","2.02","1.99","1.967","1.964","1.962","1.869","1.843","1.936","1.98"
"IMF.RES:WEO(6.0.0)","NPL.PPPEX.A","OBS_VALUE","Nepal","26.996","28.654","30.475","31.11","31.875","31.695","32.482","32.819","33.395","34.252"
"IMF.RES:WEO(6.0.0)","PHL.PPPEX.A","OBS_VALUE","Philippines","19.533","19.597","19.699","19.965","19.738","19.441","19.375","19.079","19.262","19.359"
"IMF.RES:WEO(6.0.0)","MMR.PPPEX.A","OBS_VALUE","Myanmar","353.655","354.176","366.639","343.601","350.685","354.56","410.473","445.937","508.357","551.11"
"IMF.RES:WEO(6.0.0)","OMN.PPPEX.A","OBS_VALUE","Oman","0.215","0.193","0.204","0.203","0.198","0.184","0.193","0.21","0.195","0.19"
"IMF.RES:WEO(6.0.0)","MAR.PPPEX.A","OBS_VALUE","Morocco","4.009","4.01","3.937","4.213","4.193","4.028","3.946","3.782","3.883","3.933"
"IMF.RES:WEO(6.0.0)","POL.PPPEX.A","OBS_VALUE","Poland, Republic of","1.758","1.743","1.743","1.748","1.699","1.698","1.723","1.779","1.901","1.925"
"IMF.RES:WEO(6.0.0)","PAN.PPPEX.A","OBS_VALUE","Panama","0.463","0.468","0.468","0.498","0.496","0.492","0.501","0.479","0.47","0.469"
"IMF.RES:WEO(6.0.0)","RWA.PPPEX.A","OBS_VALUE","Rwanda","289.815","301.534","320.42","312.666","311.861","321.472","300.029","324.666","345.118","352.233"
"IMF.RES:WEO(6.0.0)","RUS.PPPEX.A","OBS_VALUE","Russian Federation","22.88","23.309","24.124","24.698","23.934","23.145","23.685","25.59","26.435","28.377"
"IMF.RES:WEO(6.0.0)","MOZ.PPPEX.A","OBS_VALUE","Mozambique, Republic of","19.807","22.006","23.344","23.551","23.379","22.756","22.907","23.34","23.723","23.925"
